id	ident	type	name	latitude_deg	longitude_deg	elevation_ft	iso_country	iso_region	municipality	icao_code	iata_code	gps_code	local_code
574721	US-9277	small_airport	Foxraven Field	28.518556	-82.27614	82	US	US-FL	Brooksville			FA63	FA63
574726	US-9278	small_airport	Henning/Boldt Airport	43.559778	-95.825958	1595	US	US-MN	Rushmore			MY88	MY88
574905	US-9283	small_airport	Homerun Airport	33.643035	-95.876222	609	US	US-TX	Honey Grove			XA81	XA81
575196	US-9292	small_airport	Central Ag Spraying Airport	46.9256	-98.75141	1503	US	US-ND	Jamestown				
575263	US-9293	small_airport	Boron East Airfield	35.00558	-117.62601	2477	US	US-CA	Boron				
575357	US-9303	small_airport	Steele Airport	39.91457	-122.02347	230	US	US-CA	Chico				
577225	US-9311	small_airport	WesMar Aerodrome	39.70313	-83.13021	808	US	US-OH	Orient				
577339	US-9327	small_airport	D&B Airport	37.31305	-76.94345	33	US	US-VA	Charles City				
322358	US-9330	small_airport	Weona Airport	35.540391	-90.596498	212	US	US-AR	Trumann				
593387	US-9335	small_airport	Barron Airport	31.87288	-83.13886	209	US	US-GA	Rhine				
593388	US-9336	small_airport	Myers Airport	31.85861	-83.0743	266	US	US-GA	Rhine				
593389	US-9337	small_airport	China Hill Airport	31.85236	-83.08632	250	US	US-GA	Rhine				
593390	US-9338	small_airport	Lewis Airport	31.84972	-81.435	16	US	US-GA	Fleming				
593499	US-9340	small_airport	Gills' Landing Field	36.759306	-87.09375	611	US	US-KY	Elkton			10KY	10KY
24018	US-PA47	small_airport	Dream Air Airport	41.852933	-80.407192	870	US	US-PA	Albion				07PA
25243	UT00	small_airport	Swains Creek Airport	37.4721984863281	-112.622001647949	7780	US	US-UT	Alton			UT00	UT00
25246	UT03	small_airport	Hite Airport	37.894702	-110.379124	3840	US	US-UT	Hite			UT03	UT03
25252	UT09	small_airport	Tavaputs Ranch Airport	39.500912	-110.179739	9200	US	US-UT	Sunnyside			UT09	UT09
25253	UT10	small_airport	Cedar Valley Airport	40.357201	-112.017997	5000	US	US-UT	Eagle Mountain			UT10	UT10
25256	UT13	small_airport	Number 18 Airport	40.5638999938965	-112.013999938965	4820	US	US-UT	South Jordan			UT13	UT13
